X,CH1,
Second,Volt,
3.60280e-02,1.68e+01,
3.62280e-02,0.00e+00,
3.64280e-02,0.00e+00,
3.66280e-02,1.36e+01,
3.68280e-02,1.12e+01,
3.70280e-02,1.36e+01,
3.72280e-02,2.48e+01,
3.74280e-02,1.04e+01,
3.76280e-02,2.48e+01,
3.78280e-02,8.80e+00,
3.80280e-02,1.44e+01,
3.82280e-02,3.60e+01,
3.84280e-02,2.40e+01,
3.86280e-02,3.52e+01,
3.88280e-02,3.76e+01,
3.90280e-02,2.16e+01,
3.92280e-02,2.24e+01,
3.94280e-02,4.32e+01,
3.96280e-02,3.76e+01,
3.98280e-02,1.76e+01,
4.00280e-02,2.40e+01,
4.02280e-02,3.92e+01,
4.04280e-02,3.76e+01,
4.06280e-02,2.00e+01,
4.08280e-02,3.76e+01,
4.10280e-02,3.44e+01,
4.12280e-02,3.76e+01,
4.14280e-02,2.32e+01,
4.16280e-02,3.76e+01,
4.18280e-02,2.48e+01,
4.20280e-02,4.32e+01,
4.22280e-02,2.16e+01,
4.24280e-02,3.68e+01,
4.26280e-02,2.32e+01,
4.28280e-02,3.76e+01,
4.30280e-02,2.40e+01,
4.32280e-02,2.48e+01,
4.34280e-02,1.28e+01,
