X,CH1,
Second,Volt,
-4.17200e-03,1.84e+02,
-3.97200e-03,1.80e+02,
-3.77200e-03,1.48e+02,
-3.57200e-03,1.48e+02,
-3.37200e-03,1.12e+02,
-3.17200e-03,1.12e+02,
-2.97200e-03,7.20e+01,
-2.77200e-03,6.80e+01,
-2.57200e-03,4.40e+01,
-2.37200e-03,4.00e+01,
-2.17200e-03,0.00e+00,
-1.97200e-03,-4.00e+00,
-1.77200e-03,-3.20e+01,
-1.57200e-03,-4.00e+01,
-1.37200e-03,-6.80e+01,
-1.17200e-03,-6.80e+01,
-9.72002e-04,-1.00e+02,
-7.72001e-04,-1.04e+02,
-5.72001e-04,-1.20e+02,
-3.72001e-04,-1.24e+02,
-1.72001e-04,-1.52e+02,
2.79982e-05,-1.52e+02,
2.27998e-04,-1.72e+02,
4.27998e-04,-1.72e+02,
6.27999e-04,-1.96e+02,
8.27999e-04,-2.00e+02,
1.02800e-03,-2.24e+02,
1.22800e-03,-2.24e+02,
1.42800e-03,-2.44e+02,
1.62800e-03,-2.40e+02,
1.82800e-03,-2.60e+02,
2.02800e-03,-2.60e+02,
2.22800e-03,-2.72e+02,
2.42800e-03,-2.68e+02,
2.62800e-03,-2.80e+02,
2.82800e-03,-2.76e+02,
3.02800e-03,-2.88e+02,
3.22800e-03,-2.88e+02,
3.42800e-03,-2.76e+02,
3.62800e-03,-2.80e+02,
3.82800e-03,-2.72e+02,
4.02800e-03,-2.76e+02,
4.22800e-03,-2.64e+02,
4.42800e-03,-2.64e+02,
4.62800e-03,-2.44e+02,
4.82800e-03,-2.52e+02,
5.02800e-03,-2.32e+02,
5.22800e-03,-2.28e+02,
5.42800e-03,-2.00e+02,
5.62800e-03,-1.96e+02,
5.82800e-03,-1.76e+02,
6.02800e-03,-1.76e+02,
6.22800e-03,-1.44e+02,
6.42800e-03,-1.44e+02,
6.62800e-03,-1.08e+02,
6.82800e-03,-1.00e+02,
7.02800e-03,-6.80e+01,
7.22800e-03,-6.40e+01,
7.42800e-03,-3.20e+01,
7.62800e-03,-3.20e+01,
7.82800e-03,0.00e+00,
8.02800e-03,8.00e+00,
8.22800e-03,4.40e+01,
8.42800e-03,4.00e+01,
8.62800e-03,7.20e+01,
8.82800e-03,7.20e+01,
9.02800e-03,9.60e+01,
9.22800e-03,1.00e+02,
9.42800e-03,1.28e+02,
9.62800e-03,1.28e+02,
9.82800e-03,1.52e+02,
1.00280e-02,1.60e+02,
1.02280e-02,1.76e+02,
1.04280e-02,1.72e+02,
1.06280e-02,1.96e+02,
1.08280e-02,2.00e+02,
1.10280e-02,2.16e+02,
1.12280e-02,2.20e+02,
1.14280e-02,2.48e+02,
1.16280e-02,2.44e+02,
1.18280e-02,2.56e+02,
1.20280e-02,2.56e+02,
1.22280e-02,2.72e+02,
1.24280e-02,2.72e+02,
1.26280e-02,2.80e+02,
1.28280e-02,2.76e+02,
1.30280e-02,2.84e+02,
1.32280e-02,2.84e+02,
1.34280e-02,2.76e+02,
1.36280e-02,2.76e+02,
1.38280e-02,2.60e+02,
1.40280e-02,2.76e+02,
1.42280e-02,2.56e+02,
1.44280e-02,2.60e+02,
1.46280e-02,2.48e+02,
1.48280e-02,2.52e+02,
1.50280e-02,2.24e+02,
1.52280e-02,2.32e+02,
1.54280e-02,2.08e+02,
1.56280e-02,2.04e+02,
1.58280e-02,1.88e+02,
1.60280e-02,1.80e+02,
1.62280e-02,1.48e+02,
1.64280e-02,1.48e+02,
1.66280e-02,1.24e+02,
1.68280e-02,1.20e+02,
1.70280e-02,7.20e+01,
1.72280e-02,7.20e+01,
1.74280e-02,3.60e+01,
1.76280e-02,3.20e+01,
1.78280e-02,4.00e+00,
1.80280e-02,8.00e+00,
1.82280e-02,-3.20e+01,
1.84280e-02,-3.20e+01,
1.86280e-02,-6.40e+01,
1.88280e-02,-6.80e+01,
1.90280e-02,-1.00e+02,
1.92280e-02,-1.00e+02,
1.94280e-02,-1.24e+02,
1.96280e-02,-1.24e+02,
1.98280e-02,-1.44e+02,
2.00280e-02,-1.44e+02,
2.02280e-02,-1.68e+02,
2.04280e-02,-1.76e+02,
2.06280e-02,-1.92e+02,
2.08280e-02,-1.96e+02,
2.10280e-02,-2.20e+02,
2.12280e-02,-2.20e+02,
2.14280e-02,-2.36e+02,
2.16280e-02,-2.44e+02,
2.18280e-02,-2.60e+02,
2.20280e-02,-2.60e+02,
2.22280e-02,-2.68e+02,
2.24280e-02,-2.68e+02,
2.26280e-02,-2.80e+02,
2.28280e-02,-2.80e+02,
2.30280e-02,-2.84e+02,
2.32280e-02,-2.80e+02,
2.34280e-02,-2.84e+02,
2.36280e-02,-2.84e+02,
2.38280e-02,-2.72e+02,
2.40280e-02,-2.72e+02,
2.42280e-02,-2.64e+02,
2.44280e-02,-2.64e+02,
2.46280e-02,-2.52e+02,
2.48280e-02,-2.52e+02,
2.50280e-02,-2.28e+02,
2.52280e-02,-2.28e+02,
2.54280e-02,-2.08e+02,
2.56280e-02,-2.04e+02,
2.58280e-02,-1.80e+02,
2.60280e-02,-1.76e+02,
2.62280e-02,-1.52e+02,
2.64280e-02,-1.40e+02,
2.66280e-02,-1.04e+02,
2.68280e-02,-1.08e+02,
2.70280e-02,-7.20e+01,
2.72280e-02,-6.80e+01,
2.74280e-02,-3.20e+01,
2.76280e-02,-3.20e+01,
2.78280e-02,0.00e+00,
2.80280e-02,4.00e+00,
2.82280e-02,3.20e+01,
2.84280e-02,3.60e+01,
2.86280e-02,6.80e+01,
2.88280e-02,6.80e+01,
2.90280e-02,9.60e+01,
2.92280e-02,1.00e+02,
2.94280e-02,1.24e+02,
2.96280e-02,1.28e+02,
2.98280e-02,1.48e+02,
3.00280e-02,1.48e+02,
3.02280e-02,1.72e+02,
3.04280e-02,1.72e+02,
3.06280e-02,1.92e+02,
3.08280e-02,1.92e+02,
3.10280e-02,2.16e+02,
3.12280e-02,2.24e+02,
3.14280e-02,2.40e+02,
3.16280e-02,2.36e+02,
3.18280e-02,2.56e+02,
3.20280e-02,2.56e+02,
3.22280e-02,2.68e+02,
3.24280e-02,2.64e+02,
3.26280e-02,2.80e+02,
3.28280e-02,2.84e+02,
3.30280e-02,2.72e+02,
3.32280e-02,2.88e+02,
3.34280e-02,2.76e+02,
3.36280e-02,2.84e+02,
3.38280e-02,2.72e+02,
3.40280e-02,2.76e+02,
3.42280e-02,2.64e+02,
3.44280e-02,2.60e+02,
3.46280e-02,2.40e+02,
3.48280e-02,2.48e+02,
3.50280e-02,2.32e+02,
3.52280e-02,2.32e+02,
3.54280e-02,2.08e+02,
3.56280e-02,2.00e+02,
3.58280e-02,1.84e+02,
3.60280e-02,1.80e+02,
3.62280e-02,1.52e+02,
3.64280e-02,1.52e+02,
3.66280e-02,1.20e+02,
3.68280e-02,1.12e+02,
3.70280e-02,8.00e+01,
3.72280e-02,7.20e+01,
3.74280e-02,3.60e+01,
3.76280e-02,3.20e+01,
3.78280e-02,1.20e+01,
3.80280e-02,4.00e+00,
3.82280e-02,-3.20e+01,
3.84280e-02,-2.40e+01,
3.86280e-02,-6.40e+01,
3.88280e-02,-6.80e+01,
3.90280e-02,-9.20e+01,
3.92280e-02,-1.00e+02,
3.94280e-02,-1.24e+02,
3.96280e-02,-1.24e+02,
3.98280e-02,-1.44e+02,
4.00280e-02,-1.52e+02,
4.02280e-02,-1.76e+02,
4.04280e-02,-1.72e+02,
4.06280e-02,-1.92e+02,
4.08280e-02,-1.96e+02,
4.10280e-02,-2.16e+02,
4.12280e-02,-2.20e+02,
4.14280e-02,-2.44e+02,
4.16280e-02,-2.44e+02,
4.18280e-02,-2.60e+02,
4.20280e-02,-2.56e+02,
4.22280e-02,-2.72e+02,
4.24280e-02,-2.68e+02,
4.26280e-02,-2.80e+02,
4.28280e-02,-2.76e+02,
4.30280e-02,-2.84e+02,
4.32280e-02,-2.80e+02,
4.34280e-02,-2.84e+02,
